trigger_num,name,t90,flnc_band_alpha,flnc_band_beta,flnc_band_epeak,flnc_band_phtflux
1010,,,  -1.36, -10.69,209,   0.51
7980,GRB 000203,   0.240,  -0.87,  -2.31,324,   0.27
6405,GRB 970930-,  30.144,   0.02,  -2.15,90,   0.48
3875,4B 951019,   8.384,  -1.61,  -1.56,541,   1.24
6497,GRB 971124,   3.328,  -1.02,  -9.62,392,   0.27
1579,4B 920502-,  73.472,  -0.96, -17.79,864,   0.53
6404,GRB 970930-,  36.992,  -0.87,  -2.72,163,   4.11
5637,GRB 961019,  13.184,  -1.31,  -2.11,128,   1.00
7515,GRB 990411-, 328.448,  -1.50,  -2.27,283,   0.82
1306,4B 920120,   7.296,  -1.15,  -2.20,67.4,   0.60
1590,4B 920509,  69.504,  -2.10,  -1.97,321,   0.76
3255,4B 941023-,  34.880,  -2.00,  -2.29,370,   4.18
1303,4B 920116-,  21.248,  -1.06,  -2.04,1050,   0.71
761,4B 910905,  81.472,  -1.27,  -2.96,295,   1.38
5733,GRB 961230,   0.675,  -0.54,  -1.79,132,   0.22
7113,GRB 980923,  33.024,  -0.76,  -2.52,388,   7.25
3322,4B 941217,  26.720,  -0.60,  -3.32,165,   0.31
7156,GRB 981015-,,  -0.71,  -2.76,198,   1.25
5629,GRB 961009-,,  -0.92,  -5.05,215,   2.17
7560,GRB 990510-,  68.032,  -1.38,  -2.56,158,   2.65
3639,4B 950611-,,  -0.93,  -1.87,171,   0.71
2145,4B 930124,   0.768,  -1.24, -14.90,487,   0.16
2375,4B 930606-,  67.840,  -0.71,  -6.10,469,   0.36
7939,GRB 000108-,   1.039,  -0.74,  -3.15,134,   4.04
5456,4B 960508-,   3.904,  -0.86,  -2.74,196,   1.05
5547,4B 960722-,   0.896,  -0.22, -18.63,699,   1.03
6342,GRB 970821,  11.712,  -0.47,  -3.91,489,   0.19
3374,4B 950123,   2.284,  -1.36,  -1.42,420,   0.34
6476,GRB 971113,,  -1.34,  -1.92,1010,   1.37
7491,GRB 990323-,  49.472,  -1.02,  -2.80,490,   5.44
2987,4B 940521-,   0.640,  -0.80,  -1.44,323,   0.20
6244,GRB 970530,  70.976,  -0.16,  -2.09,116,   0.37
7900,GRB 991210-,  60.800,  -0.95,  -3.03,307,   0.70
4744,4B 960205-,   0.128,   2.35, -10.15,135,   0.09
6593,GRB 980208-,  31.232,  -0.96,  -2.38,229,   3.91
591,4B 910730-,  56.064,  -0.92,  -2.61,135,   0.52
6557,GRB 980103-,  96.128,  -1.95,  -3.81,711,   1.04
7564,GRB 990513-,   6.016,   0.19,  -3.52,78,   1.30
2697,4B 931219-,  13.696,  -1.69,  -2.89,102,   0.94
2486,4B 930809-,,  -1.24,  -2.33,182,   1.99
5206,4B 960311,   0.304,   0.44,  -1.20,284,   0.38
1125,4B 911127-,  18.112,   0.26,  -2.30,92.5,   0.39
3477,4B 950321,   1.461,  -0.05, -18.63,441,   0.53
7701,GRB 990806,  17.408,  -1.30,  -2.28,182,   1.14
2973,4B 940512-,   0.637,   0.22,  -6.67,217,   0.39
1883,4B 920830,  17.344,  -1.28,  -2.59,231,   1.73
1553,4B 920414-,   0.960,  -0.81,  -2.10,680,   3.44
1635,4B 920606,   0.512,   0.03,  -4.20,197,   0.36
6486,GRB 971118-,   0.075,   0.48,  -2.55,187,   0.58
856,4B 911002,   0.896,  -1.57,  -3.53,94.4,   0.30
3511,4B 950417,  19.904,  -1.91,  -7.22,963,   1.35
6275,GRB 970617,   1.984,  -0.85,  -1.28,847,   0.52
6877,GRB 980626-,  13.056,  -0.34,  -3.67,128,   1.61
2677,4B 931204-,   2.176,  -1.42,  -1.85,122,   0.33
7789,GRB 991005-,   0.164,  -0.16, -14.16,879,   0.82
6870,GRB 980626-,  14.400,  -0.51,  -2.05,164,   0.31
7830,GRB 991029,   0.896,   3.49,  -2.21,114,   0.36
7509,GRB 990404-,   5.248,  -1.77,  -3.43,31.2,   0.75
666,4B 910811,,   0.34,  -2.00,119,   0.46
1642,4B 920609-,  82.880,  -0.80,  -7.01,160,   0.39
2770,4B 940119-, 181.088,  -1.50,  -1.58,674,   0.54
3441,4B 950225-,   0.240,  -1.04, -18.63,404,   0.22
6469,GRB 971108,   1.792,  -0.93,  -6.10,248,   0.39
3545,4B 950505,   1.439,  -1.18,  -6.20,1710,   0.49
5255,4B 960316,  69.472,  -2.05,  -3.38,121,   1.13
8066,GRB 000407,  28.928,  -1.41,  -3.79,121,   0.63
2387,4B 930612-,  41.984,  -0.76,  -2.73,153,   1.77
6098,GRB 970221,   9.344,  -0.66, -12.02,122,   1.17
2512,4B 930903-,   0.359,  -0.47,  -2.50,204,   0.62
3038,4B 940621-,   0.464,  -0.19,  -2.93,1110,   0.76
1953,4B 920924,   2.816,  -0.16,  -1.71,197,   0.72
