  DATA CHANNELS:                                            
         ch      emin -        emax         data    +-      
         28      18.32      19.33     0.60228E-01     0.13774E-04
         29      19.33      20.34     0.81548E-01     0.16027E-04
         30      20.34      21.35     0.10614E+00     0.18286E-04
         31      21.35      22.36     0.13280E+00     0.20351E-04
         32      22.36      23.37     0.16671E+00     0.22915E-04
         33      23.37      24.38     0.21210E+00     0.25848E-04
         34      24.38      25.39     0.27865E+00     0.29627E-04
         35      25.39      26.40     0.36718E+00     0.33840E-04
         36      26.40      27.41     0.45641E+00     0.37918E-04
         37      27.41      28.42     0.46248E+00     0.38168E-04
         38      28.42      29.43     0.40131E+00     0.35555E-04
         39      29.43      30.44     0.38977E+00     0.35041E-04
         40      30.44      31.45     0.27857E+00     0.29476E-04
         41      31.45      32.46     0.15513E+00     0.22106E-04
         42      32.46      33.47     0.12729E+00     0.20024E-04
         43      33.47      34.48     0.12254E+00     0.19647E-04
         44      34.48      35.49     0.11797E+00     0.19182E-04
         45      35.49      36.50     0.11566E+00     0.19087E-04
         46      36.50      37.51     0.11136E+00     0.18729E-04
         47      37.51      38.52     0.10859E+00     0.18496E-04
         48      38.52      39.53     0.10503E+00     0.18099E-04
         49      39.53      40.54     0.10349E+00     0.18057E-04
         50      40.54      41.55     0.10071E+00     0.17814E-04
         51      41.55      42.56     0.98307E-01     0.17598E-04
         52      42.56      43.57     0.94784E-01     0.17194E-04
         53      43.57      44.58     0.93309E-01     0.17146E-04
         54      44.58      45.59     0.90957E-01     0.16927E-04
         55      45.59      46.60     0.89410E-01     0.16784E-04
         56      46.60      47.61     0.86796E-01     0.16453E-04
         57      47.61      48.62     0.85617E-01     0.16423E-04
         58      48.62      49.63     0.83626E-01     0.16232E-04
         59      49.63      50.64     0.82042E-01     0.16077E-04
         60      50.64      51.65     0.79408E-01     0.15737E-04
         61      51.65      52.66     0.79599E-01     0.15836E-04
         62      52.66      53.67     0.83719E-01     0.16240E-04
         63      53.67      54.68     0.85228E-01     0.16386E-04
         64      54.68      55.69     0.77418E-01     0.15540E-04
         65      55.69      56.70     0.74204E-01     0.15289E-04
         66      56.70      57.71     0.72457E-01     0.15108E-04
         67      57.71      58.72     0.71899E-01     0.15051E-04
         68      58.72      59.73     0.70210E-01     0.14798E-04
         69      59.73      60.74     0.69061E-01     0.14751E-04
         70      60.74      61.75     0.67363E-01     0.14568E-04
         71      61.75      62.76     0.67100E-01     0.14539E-04
         72      62.76      63.77     0.66867E-01     0.14443E-04
         73      63.77      64.78     0.66489E-01     0.14473E-04
